times,date,number
234,1997年2月25日,317
235,1997年2月28日,582
236,1997年3月4日,830
237,1997年3月7日,648
238,1997年3月11日,414
239,1997年3月14日,741
240,1997年3月18日,229
241,1997年3月21日,400
242,1997年3月25日,066
243,1997年3月28日,608
244,1997年4月1日,140
245,1997年4月4日,827
246,1997年4月8日,593
247,1997年4月11日,537
248,1997年4月15日,193
249,1997年4月18日,624
250,1997年4月22日,180
251,1997年4月25日,227
252,1997年4月29日,004
253,1997年5月2日,616
254,1997年5月6日,238
255,1997年5月9日,770
256,1997年5月13日,088
257,1997年5月16日,935
258,1997年5月20日,447
259,1997年5月23日,216
260,1997年5月27日,061
261,1997年5月30日,596
262,1997年6月3日,042
263,1997年6月6日,839
264,1997年6月10日,362
265,1997年6月13日,928
266,1997年6月17日,972
267,1997年6月20日,093
268,1997年6月24日,024
269,1997年6月27日,782
270,1997年7月1日,793
271,1997年7月4日,823
272,1997年7月8日,783
273,1997年7月11日,526
274,1997年7月15日,854
275,1997年7月18日,806
276,1997年7月22日,385
277,1997年7月25日,632
278,1997年7月29日,877
279,1997年8月1日,891
280,1997年8月5日,326
281,1997年8月8日,907
282,1997年8月12日,743
283,1997年8月15日,940
284,1997年8月19日,588
285,1997年8月22日,760
286,1997年8月26日,272
287,1997年8月29日,925
288,1997年9月2日,144
289,1997年9月5日,838
290,1997年9月9日,167
291,1997年9月12日,085
292,1997年9月16日,737
293,1997年9月19日,663
294,1997年9月23日,107
295,1997年9月26日,075
296,1997年9月30日,880
297,1997年10月3日,144
298,1997年10月6日,104
299,1997年10月8日,155
300,1997年10月10日,126
301,1997年10月13日,330
302,1997年10月15日,001
303,1997年10月17日,497
304,1997年10月20日,399
305,1997年10月22日,367
306,1997年10月24日,748
307,1997年10月27日,690
308,1997年10月29日,519
309,1997年10月31日,777
310,1997年11月3日,575
311,1997年11月5日,104
312,1997年11月7日,068
313,1997年11月10日,069
314,1997年11月12日,242
315,1997年11月14日,137
316,1997年11月17日,218
317,1997年11月19日,190
318,1997年11月21日,537
319,1997年11月24日,395
320,1997年11月26日,598
321,1997年11月28日,429
322,1997年12月1日,064
323,1997年12月3日,375
324,1997年12月5日,805
325,1997年12月8日,531
326,1997年12月10日,930
327,1997年12月12日,980
328,1997年12月15日,736
329,1997年12月17日,543
330,1997年12月19日,179
331,1997年12月22日,196
332,1997年12月24日,167
333,1997年12月26日,238
334,1997年12月29日,480
335,1998年1月5日,950
336,1998年1月7日,551
337,1998年1月9日,632
338,1998年1月12日,704
339,1998年1月14日,152
340,1998年1月16日,992
341,1998年1月19日,259
342,1998年1月21日,686
343,1998年1月23日,997
344,1998年1月26日,035
345,1998年1月28日,513
346,1998年1月30日,000
347,1998年2月2日,718
348,1998年2月4日,394
349,1998年2月6日,431
350,1998年2月9日,638
351,1998年2月11日,417
352,1998年2月13日,038
353,1998年2月16日,996
354,1998年2月18日,750
355,1998年2月20日,487
356,1998年2月23日,852
357,1998年2月25日,756
358,1998年2月27日,469
359,1998年3月2日,277
360,1998年3月4日,965
361,1998年3月6日,965
362,1998年3月9日,640
363,1998年3月11日,458
364,1998年3月13日,908
365,1998年3月16日,887
366,1998年3月18日,841
367,1998年3月20日,778
368,1998年3月23日,805
369,1998年3月25日,135
370,1998年3月27日,091
371,1998年3月30日,798
372,1998年4月1日,202
373,1998年4月3日,417
374,1998年4月6日,409
375,1998年4月8日,994
376,1998年4月10日,274
377,1998年4月13日,155
378,1998年4月15日,075
379,1998年4月17日,649
380,1998年4月20日,820
381,1998年4月22日,885
382,1998年4月24日,606
383,1998年4月27日,081
384,1998年4月29日,690
385,1998年5月1日,332
386,1998年5月4日,578
387,1998年5月6日,396
388,1998年5月8日,227
389,1998年5月11日,275
390,1998年5月13日,956
391,1998年5月15日,066
392,1998年5月18日,426
393,1998年5月20日,029
394,1998年5月22日,729
395,1998年5月25日,440
396,1998年5月27日,963
397,1998年5月29日,345
398,1998年6月1日,274
399,1998年6月3日,816
400,1998年6月5日,596
401,1998年6月8日,354
402,1998年6月10日,058
403,1998年6月12日,431
404,1998年6月15日,109
405,1998年6月17日,891
406,1998年6月19日,222
407,1998年6月22日,042
408,1998年6月24日,237
409,1998年6月26日,400
410,1998年6月29日,866
411,1998年7月1日,636
412,1998年7月3日,514
413,1998年7月6日,910
414,1998年7月8日,737
415,1998年7月10日,834
416,1998年7月13日,001
417,1998年7月15日,371
418,1998年7月17日,429
419,1998年7月20日,723
420,1998年7月22日,427
421,1998年7月24日,402
422,1998年7月27日,495
423,1998年7月29日,367
424,1998年7月31日,043
425,1998年8月3日,535
426,1998年8月5日,618
427,1998年8月7日,159
428,1998年8月10日,512
429,1998年8月12日,641
430,1998年8月14日,652
431,1998年8月17日,219
432,1998年8月19日,163
433,1998年8月21日,255
434,1998年8月24日,698
435,1998年8月26日,161
436,1998年8月28日,244
437,1998年8月31日,727
438,1998年9月2日,235
439,1998年9月4日,605
440,1998年9月7日,520
441,1998年9月9日,196
442,1998年9月11日,174
443,1998年9月14日,198
444,1998年9月16日,107
445,1998年9月18日,087
446,1998年9月21日,531
447,1998年9月23日,453
448,1998年9月25日,785
449,1998年9月28日,048
450,1998年9月30日,033
451,1998年10月2日,423
452,1998年10月5日,666
453,1998年10月7日,102
454,1998年10月9日,713
455,1998年10月12日,612
456,1998年10月14日,887
457,1998年10月16日,189
458,1998年10月19日,383
459,1998年10月21日,620
460,1998年10月23日,150
461,1998年10月26日,190
462,1998年10月28日,292
463,1998年10月30日,994
464,1998年11月2日,086
465,1998年11月4日,095
466,1998年11月6日,256
467,1998年11月9日,882
468,1998年11月11日,687
469,1998年11月13日,949
470,1998年11月16日,577
471,1998年11月18日,301
472,1998年11月20日,616
473,1998年11月23日,407
474,1998年11月25日,041
475,1998年11月27日,583
476,1998年11月30日,111
477,1998年12月2日,498
478,1998年12月4日,277
479,1998年12月7日,962
480,1998年12月9日,335
481,1998年12月11日,550
482,1998年12月14日,818
483,1998年12月16日,075
484,1998年12月18日,899
485,1998年12月21日,485
486,1998年12月23日,932
487,1998年12月25日,856
488,1998年12月28日,115
489,1998年12月30日,618
490,1999年1月4日,634
491,1999年1月6日,995
492,1999年1月8日,931
493,1999年1月11日,385
494,1999年1月13日,153
495,1999年1月15日,827
496,1999年1月18日,028
497,1999年1月20日,595
498,1999年1月22日,211
499,1999年1月25日,012
500,1999年1月27日,679
501,1999年1月29日,640
502,1999年2月1日,929
503,1999年2月3日,782
504,1999年2月5日,947
505,1999年2月8日,480
506,1999年2月10日,993
507,1999年2月12日,172
508,1999年2月15日,295
509,1999年2月17日,831
510,1999年2月19日,253
511,1999年2月22日,914
512,1999年2月24日,947
513,1999年2月26日,900
514,1999年3月1日,122
515,1999年3月3日,286
516,1999年3月5日,583
517,1999年3月8日,287
518,1999年3月10日,402
519,1999年3月12日,658
520,1999年3月15日,493
521,1999年3月17日,535
522,1999年3月19日,073
523,1999年3月22日,532
524,1999年3月24日,036
525,1999年3月26日,919
526,1999年3月29日,357
527,1999年3月31日,593
528,1999年4月2日,743
529,1999年4月5日,413
530,1999年4月7日,719
531,1999年4月9日,835
532,1999年4月12日,277
533,1999年4月14日,200
534,1999年4月16日,432
535,1999年4月19日,205
536,1999年4月21日,951
537,1999年4月23日,998
538,1999年4月26日,628
539,1999年4月28日,435
540,1999年4月30日,154
541,1999年5月3日,033
542,1999年5月5日,614
543,1999年5月7日,362
544,1999年5月10日,269
545,1999年5月12日,838
546,1999年5月14日,098
547,1999年5月17日,806
548,1999年5月19日,411
549,1999年5月21日,450
550,1999年5月24日,666
551,1999年5月26日,300
552,1999年5月28日,993
553,1999年5月31日,019
554,1999年6月2日,355
555,1999年6月4日,602
556,1999年6月7日,331
557,1999年6月9日,443
558,1999年6月11日,666
559,1999年6月14日,297
560,1999年6月16日,057
561,1999年6月18日,190
562,1999年6月21日,382
563,1999年6月23日,080
564,1999年6月25日,732
565,1999年6月28日,982
566,1999年6月30日,906
567,1999年7月2日,433
568,1999年7月5日,953
569,1999年7月7日,049
570,1999年7月9日,587
571,1999年7月12日,798
572,1999年7月14日,731
573,1999年7月16日,597
574,1999年7月19日,910
575,1999年7月21日,939
576,1999年7月23日,487
577,1999年7月26日,228
578,1999年7月28日,398
579,1999年7月30日,588
580,1999年8月2日,385
581,1999年8月4日,160
582,1999年8月6日,315
583,1999年8月9日,850
584,1999年8月11日,085
585,1999年8月13日,365
586,1999年8月16日,207
587,1999年8月18日,569
588,1999年8月20日,652
589,1999年8月23日,485
590,1999年8月25日,947
591,1999年8月27日,046
592,1999年8月30日,036
593,1999年9月1日,829
594,1999年9月3日,130
595,1999年9月6日,162
596,1999年9月8日,193
597,1999年9月10日,429
598,1999年9月13日,306
599,1999年9月15日,554
600,1999年9月17日,752
601,1999年9月20日,421
602,1999年9月22日,979
603,1999年9月24日,699
604,1999年9月27日,939
605,1999年9月29日,030
606,1999年10月1日,638
607,1999年10月4日,405
608,1999年10月6日,964
609,1999年10月8日,178
610,1999年10月11日,337
611,1999年10月13日,801
612,1999年10月15日,730
613,1999年10月18日,591
614,1999年10月20日,369
615,1999年10月22日,142
616,1999年10月25日,475
617,1999年10月27日,092
618,1999年10月29日,279
619,1999年11月1日,567
620,1999年11月3日,866
621,1999年11月5日,044
622,1999年11月8日,639
623,1999年11月10日,308
624,1999年11月12日,675
625,1999年11月15日,546
626,1999年11月17日,588
627,1999年11月19日,472
628,1999年11月22日,201
629,1999年11月24日,118
630,1999年11月26日,223
631,1999年11月29日,194
632,1999年12月1日,182
633,1999年12月3日,446
634,1999年12月6日,382
635,1999年12月8日,669
636,1999年12月10日,403
637,1999年12月13日,633
638,1999年12月15日,951
639,1999年12月17日,783
640,1999年12月20日,908
641,1999年12月22日,636
642,1999年12月24日,433
643,1999年12月27日,364
644,1999年12月29日,949
645,2000年1月5日,584
646,2000年1月7日,732
647,2000年1月10日,175
648,2000年1月12日,044
649,2000年1月14日,282
650,2000年1月17日,969
651,2000年1月19日,345
652,2000年1月21日,258
653,2000年1月24日,037
654,2000年1月26日,507
655,2000年1月28日,798
656,2000年1月31日,028
657,2000年2月2日,959
658,2000年2月4日,553
659,2000年2月7日,649
660,2000年2月9日,875
661,2000年2月11日,081
662,2000年2月14日,646
663,2000年2月16日,070
664,2000年2月18日,195
665,2000年2月21日,297
666,2000年2月23日,277
667,2000年2月25日,943
668,2000年2月28日,157
669,2000年3月1日,367
670,2000年3月3日,811
671,2000年3月6日,682
672,2000年3月8日,916
673,2000年3月10日,385
674,2000年3月13日,478
675,2000年3月15日,944
676,2000年3月17日,830
677,2000年3月20日,068
678,2000年3月22日,628
679,2000年3月24日,261
680,2000年3月27日,277
681,2000年3月29日,503
682,2000年3月31日,973
683,2000年4月3日,632
684,2000年4月5日,715
685,2000年4月7日,947
686,2000年4月10日,790
687,2000年4月12日,751
688,2000年4月14日,232
689,2000年4月17日,042
690,2000年4月19日,274
691,2000年4月21日,132
692,2000年4月24日,548
693,2000年4月26日,094
694,2000年4月28日,900
695,2000年5月1日,797
696,2000年5月3日,003
697,2000年5月5日,971
698,2000年5月8日,907
699,2000年5月10日,278
700,2000年5月12日,232
701,2000年5月15日,883
702,2000年5月17日,993
703,2000年5月19日,424
704,2000年5月22日,869
705,2000年5月24日,094
706,2000年5月26日,948
707,2000年5月29日,851
708,2000年5月31日,337
709,2000年6月2日,762
710,2000年6月5日,114
711,2000年6月7日,755
712,2000年6月9日,428
713,2000年6月12日,620
714,2000年6月14日,943
715,2000年6月16日,040
716,2000年6月19日,469
717,2000年6月21日,743
718,2000年6月23日,241
719,2000年6月26日,234
720,2000年6月28日,217
721,2000年6月30日,889
722,2000年7月3日,214
723,2000年7月5日,739
724,2000年7月7日,376
725,2000年7月10日,397
726,2000年7月12日,629
727,2000年7月14日,125
728,2000年7月17日,743
729,2000年7月19日,189
730,2000年7月21日,974
731,2000年7月24日,808
732,2000年7月26日,715
733,2000年7月28日,179
734,2000年7月31日,496
735,2000年8月2日,610
736,2000年8月4日,603
737,2000年8月7日,821
738,2000年8月9日,065
739,2000年8月11日,918
740,2000年8月14日,602
741,2000年8月16日,054
742,2000年8月18日,286
743,2000年8月21日,854
744,2000年8月23日,946
745,2000年8月25日,031
746,2000年8月28日,134
747,2000年8月30日,831
748,2000年9月1日,617
749,2000年9月4日,920
750,2000年9月6日,912
751,2000年9月8日,266
752,2000年9月11日,370
753,2000年9月13日,208
754,2000年9月15日,307
755,2000年9月18日,982
756,2000年9月20日,386
757,2000年9月22日,375
758,2000年9月25日,088
759,2000年9月27日,548
760,2000年9月29日,699
761,2000年10月2日,805
762,2000年10月4日,804
763,2000年10月6日,610
764,2000年10月9日,094
765,2000年10月11日,117
766,2000年10月13日,835
767,2000年10月16日,618
768,2000年10月18日,192
769,2000年10月20日,220
770,2000年10月23日,325
771,2000年10月25日,522
772,2000年10月27日,574
773,2000年10月30日,811
774,2000年11月1日,080
775,2000年11月3日,923
776,2000年11月6日,302
777,2000年11月8日,237
778,2000年11月10日,226
779,2000年11月13日,167
780,2000年11月15日,033
781,2000年11月17日,472
782,2000年11月20日,014
783,2000年11月22日,924
784,2000年11月24日,703
785,2000年11月27日,908
786,2000年11月29日,160
787,2000年12月1日,221
788,2000年12月4日,433
789,2000年12月6日,787
790,2000年12月8日,807
791,2000年12月11日,552
792,2000年12月13日,220
793,2000年12月15日,685
794,2000年12月18日,199
795,2000年12月20日,461
796,2000年12月22日,360
797,2000年12月25日,418
798,2000年12月27日,477
799,2000年12月29日,953
800,2001年1月5日,817
801,2001年1月8日,793
802,2001年1月10日,468
803,2001年1月12日,405
804,2001年1月15日,331
805,2001年1月17日,224
806,2001年1月19日,221
807,2001年1月22日,122
808,2001年1月24日,296
809,2001年1月26日,127
810,2001年1月29日,929
811,2001年1月31日,559
812,2001年2月2日,614
813,2001年2月5日,096
814,2001年2月7日,873
815,2001年2月9日,839
816,2001年2月12日,650
817,2001年2月14日,922
818,2001年2月16日,427
819,2001年2月19日,369
820,2001年2月21日,033
821,2001年2月23日,292
822,2001年2月26日,459
823,2001年2月28日,535
824,2001年3月2日,102
825,2001年3月5日,339
826,2001年3月7日,823
827,2001年3月9日,802
828,2001年3月12日,939
829,2001年3月14日,442
830,2001年3月16日,247
831,2001年3月19日,764
832,2001年3月21日,626
833,2001年3月23日,826
834,2001年3月26日,594
835,2001年3月28日,309
836,2001年3月30日,926
837,2001年4月2日,539
838,2001年4月4日,524
839,2001年4月6日,679
840,2001年4月9日,059
841,2001年4月11日,306
842,2001年4月13日,219
843,2001年4月16日,768
844,2001年4月18日,170
845,2001年4月20日,274
846,2001年4月23日,531
847,2001年4月25日,473
848,2001年4月27日,098
849,2001年4月30日,539
850,2001年5月2日,646
851,2001年5月4日,717
852,2001年5月7日,057
853,2001年5月9日,363
854,2001年5月11日,112
855,2001年5月14日,939
856,2001年5月16日,099
857,2001年5月18日,921
858,2001年5月21日,510
859,2001年5月23日,400
860,2001年5月25日,963
861,2001年5月28日,931
862,2001年5月30日,883
863,2001年6月1日,585
864,2001年6月4日,426
865,2001年6月6日,329
866,2001年6月8日,571
867,2001年6月11日,432
868,2001年6月13日,634
869,2001年6月15日,245
870,2001年6月18日,772
871,2001年6月20日,639
872,2001年6月22日,755
873,2001年6月25日,367
874,2001年6月27日,454
875,2001年6月29日,778
876,2001年7月2日,845
877,2001年7月4日,589
878,2001年7月6日,318
879,2001年7月9日,908
880,2001年7月11日,678
881,2001年7月13日,494
882,2001年7月16日,703
883,2001年7月18日,745
884,2001年7月20日,388
885,2001年7月23日,307
886,2001年7月25日,302
887,2001年7月27日,672
888,2001年7月30日,691
889,2001年8月1日,139
890,2001年8月3日,332
891,2001年8月6日,254
892,2001年8月8日,353
893,2001年8月10日,184
894,2001年8月13日,592
895,2001年8月15日,614
896,2001年8月17日,108
897,2001年8月20日,055
898,2001年8月22日,980
899,2001年8月24日,350
900,2001年8月27日,088
901,2001年8月29日,694
902,2001年8月31日,377
903,2001年9月3日,648
904,2001年9月5日,005
905,2001年9月7日,812
906,2001年9月10日,202
907,2001年9月12日,865
908,2001年9月14日,042
909,2001年9月17日,116
910,2001年9月19日,947
911,2001年9月21日,972
912,2001年9月24日,891
913,2001年9月26日,524
914,2001年9月28日,737
915,2001年10月1日,356
916,2001年10月3日,276
917,2001年10月5日,502
918,2001年10月8日,997
919,2001年10月10日,223
920,2001年10月12日,498
921,2001年10月15日,315
922,2001年10月17日,893
923,2001年10月19日,232
924,2001年10月22日,511
925,2001年10月24日,971
926,2001年10月26日,373
927,2001年10月29日,468
928,2001年10月31日,848
929,2001年11月2日,032
930,2001年11月5日,905
931,2001年11月7日,330
932,2001年11月9日,471
933,2001年11月12日,337
934,2001年11月14日,361
935,2001年11月16日,304
936,2001年11月19日,666
937,2001年11月21日,865
938,2001年11月23日,603
939,2001年11月26日,308
940,2001年11月28日,188
941,2001年11月30日,059
942,2001年12月3日,614
943,2001年12月5日,881
944,2001年12月7日,937
945,2001年12月10日,019
946,2001年12月12日,361
947,2001年12月14日,220
948,2001年12月17日,478
949,2001年12月19日,788
950,2001年12月21日,707
951,2001年12月24日,147
952,2001年12月26日,549
953,2001年12月28日,875
954,2002年1月4日,103
955,2002年1月7日,845
956,2002年1月9日,981
957,2002年1月11日,533
958,2002年1月14日,454
959,2002年1月16日,911
960,2002年1月18日,060
961,2002年1月21日,345
962,2002年1月23日,559
963,2002年1月25日,805
964,2002年1月28日,230
965,2002年1月30日,131
966,2002年2月1日,832
967,2002年2月4日,715
968,2002年2月6日,181
969,2002年2月8日,950
970,2002年2月11日,749
971,2002年2月13日,147
972,2002年2月15日,337
973,2002年2月18日,557
974,2002年2月20日,795
975,2002年2月22日,432
976,2002年2月25日,000
977,2002年2月27日,192
978,2002年3月1日,158
979,2002年3月4日,011
980,2002年3月6日,420
981,2002年3月8日,250
982,2002年3月11日,071
983,2002年3月13日,727
984,2002年3月15日,824
985,2002年3月18日,622
986,2002年3月20日,505
987,2002年3月22日,683
988,2002年3月25日,241
989,2002年3月27日,979
990,2002年3月29日,543
991,2002年4月1日,505
992,2002年4月3日,124
993,2002年4月5日,393
994,2002年4月8日,658
995,2002年4月10日,312
996,2002年4月12日,931
997,2002年4月15日,168
998,2002年4月17日,851
999,2002年4月19日,189
1000,2002年4月22日,165
1001,2002年4月24日,828
1002,2002年4月26日,324
1003,2002年4月29日,241
1004,2002年5月1日,629
1005,2002年5月3日,215
1006,2002年5月6日,233
1007,2002年5月8日,297
1008,2002年5月10日,381
1009,2002年5月13日,699
1010,2002年5月15日,695
1011,2002年5月17日,813
1012,2002年5月20日,690
1013,2002年5月22日,199
1014,2002年5月24日,758
1015,2002年5月27日,922
1016,2002年5月29日,810
1017,2002年5月31日,463
1018,2002年6月3日,749
1019,2002年6月5日,546
1020,2002年6月7日,140
1021,2002年6月10日,642
1022,2002年6月12日,463
1023,2002年6月14日,224
1024,2002年6月17日,423
1025,2002年6月19日,793
1026,2002年6月21日,554
1027,2002年6月24日,794
1028,2002年6月26日,441
1029,2002年6月28日,825
1030,2002年7月1日,260
1031,2002年7月3日,216
1032,2002年7月5日,404
1033,2002年7月8日,466
1034,2002年7月10日,249
1035,2002年7月12日,067
1036,2002年7月15日,524
1037,2002年7月17日,925
1038,2002年7月19日,143
1039,2002年7月22日,258
1040,2002年7月24日,108
1041,2002年7月26日,526
1042,2002年7月29日,647
1043,2002年7月31日,844
1044,2002年8月2日,883
1045,2002年8月5日,267
1046,2002年8月7日,676
1047,2002年8月9日,165
1048,2002年8月12日,602
1049,2002年8月14日,006
1050,2002年8月16日,290
1051,2002年8月19日,538
1052,2002年8月21日,642
1053,2002年8月23日,670
1054,2002年8月26日,911
1055,2002年8月28日,552
1056,2002年8月30日,646
1057,2002年9月2日,137
1058,2002年9月4日,347
1059,2002年9月6日,879
1060,2002年9月9日,966
1061,2002年9月11日,995
1062,2002年9月13日,165
1063,2002年9月16日,966
1064,2002年9月18日,228
1065,2002年9月20日,385
1066,2002年9月23日,571
1067,2002年9月25日,259
1068,2002年9月27日,330
1069,2002年9月30日,670
1070,2002年10月2日,853
1071,2002年10月4日,910
1072,2002年10月7日,382
1073,2002年10月9日,461
1074,2002年10月11日,866
1075,2002年10月14日,567
1076,2002年10月16日,954
1077,2002年10月18日,294
1078,2002年10月21日,408
1079,2002年10月23日,438
1080,2002年10月25日,410
1081,2002年10月28日,465
1082,2002年10月30日,486
1083,2002年11月1日,334
1084,2002年11月4日,721
1085,2002年11月6日,175
1086,2002年11月8日,750
1087,2002年11月11日,299
1088,2002年11月13日,305
1089,2002年11月15日,670
1090,2002年11月18日,549
1091,2002年11月20日,621
1092,2002年11月22日,779
1093,2002年11月25日,782
1094,2002年11月27日,798
1095,2002年11月29日,289
1096,2002年12月2日,601
1097,2002年12月4日,188
1098,2002年12月6日,053
1099,2002年12月9日,180
1100,2002年12月11日,390
1101,2002年12月13日,232
1102,2002年12月16日,015
1103,2002年12月18日,270
1104,2002年12月20日,386
1105,2002年12月23日,748
1106,2002年12月25日,821
1107,2002年12月27日,519
1108,2002年12月30日,407
1109,2003年1月6日,739
1110,2003年1月8日,904
1111,2003年1月10日,850
1112,2003年1月13日,417
1113,2003年1月15日,735
1114,2003年1月17日,685
1115,2003年1月20日,703
1116,2003年1月22日,409
1117,2003年1月24日,718
1118,2003年1月27日,816
1119,2003年1月29日,264
1120,2003年1月31日,789
1121,2003年2月3日,996
1122,2003年2月5日,702
1123,2003年2月7日,687
1124,2003年2月10日,818
1125,2003年2月12日,820
1126,2003年2月14日,361
1127,2003年2月17日,554
1128,2003年2月19日,956
1129,2003年2月21日,264
1130,2003年2月24日,036
1131,2003年2月26日,210
1132,2003年2月28日,418
1133,2003年3月3日,036
1134,2003年3月5日,251
1135,2003年3月7日,887
1136,2003年3月10日,410
1137,2003年3月12日,233
1138,2003年3月14日,250
1139,2003年3月17日,072
1140,2003年3月19日,757
1141,2003年3月21日,917
1142,2003年3月24日,540
1143,2003年3月26日,129
1144,2003年3月28日,999
1145,2003年3月31日,126
1146,2003年4月2日,442
1147,2003年4月4日,428
1148,2003年4月7日,016
1149,2003年4月9日,511
1150,2003年4月11日,831
1151,2003年4月14日,714
1152,2003年4月16日,177
